Date/Time,RANGE," ""ROW""","""LOCATION""","""TRIAL""","""PLOT""",Weight,Moisture,Test Weight,Quick Note,Harvest Sequence
6/12/2024 13:43,5,1,HUT.E,DP,101,3.174,11.6,71.2,,1
6/12/2024 13:44,6,1,HUT.E,DP,201,0.02,0.22,0.85,,2
6/12/2024 13:44,7,1,HUT.E,DP,301,0.019,0.26,1.12,,3
6/12/2024 13:44,8,1,HUT.E,DP,401,0.026,0.31,0.98,,4
6/12/2024 13:58,5,2,HUT.E,DP,102,2.651,10.8,65.7,,20
6/12/2024 13:57,6,2,HUT.E,DP,202,3.279,11.3,68,,19
6/12/2024 13:56,7,2,HUT.E,DP,302,2.934,10.9,65.2,,18
6/12/2024 13:55,8,2,HUT.E,DP,402,6.095,11.2,75.9,,17
6/12/2024 14:01,4,3,HUT.E,DP,203,2.512,11.4,69.9,,22
6/12/2024 13:59,5,3,HUT.E,DP,103,2.097,10.4,61.1,,21
6/12/2024 14:02,7,3,HUT.E,DP,303,4.226,11.3,75.3,,23
6/12/2024 14:03,8,3,HUT.E,DP,403,0.045,0.44,1.45,,24
6/12/2024 14:18,5,4,HUT.E,DP,104,3.85,11,73.2,,40
6/12/2024 14:16,6,4,HUT.E,DP,204,0.284,5.75,19.5,,39
6/12/2024 14:15,7,4,HUT.E,DP,304,2.124,11.4,69.3,,38
6/12/2024 14:14,8,4,HUT.E,DP,404,4.317,10.6,67.2,,37
6/12/2024 14:20,5,5,HUT.E,DP,105,3.663,10.9,71.9,,41
6/12/2024 14:21,6,5,HUT.E,DP,205,5.628,11,76.4,,42
6/12/2024 14:22,7,5,HUT.E,DP,305,1.479,10.6,60,,43
6/12/2024 14:23,8,5,HUT.E,DP,405,3.221,10.7,69.5,,44
6/12/2024 14:37,4,6,HUT.E,DP,107,3.811,11.6,70.4,107 DP,61
6/12/2024 14:36,5,6,HUT.E,DP,106,3.224,11.2,69.5,,60
6/12/2024 14:35,6,6,HUT.E,DP,206,2.789,10.1,58.6,,59
6/12/2024 14:35,7,6,HUT.E,DP,306,2.932,10.7,66.8,,58
6/12/2024 14:34,8,6,HUT.E,DP,406,3.827,10.6,69.1,,57
6/12/2024 14:39,7,7,HUT.E,DP,307,3.452,12,67.3,,62
6/12/2024 14:40,8,7,HUT.E,DP,407,4.386,11.3,76.7,,63
6/12/2024 14:54,5,8,HUT.E,DP,108,3.7,12,69.2,,79
6/12/2024 14:53,6,8,HUT.E,DP,208,3.539,11,66.6,,78
6/12/2024 14:52,7,8,HUT.E,DP,308,0.025,0.62,1.06,,77
6/12/2024 14:51,8,8,HUT.E,DP,408,2.782,11.4,65.6,,76
6/12/2024 14:55,5,9,HUT.E,DP,109,4.564,11.8,69.6,,80
6/12/2024 14:56,6,9,HUT.E,DP,209,3.161,11.2,68.6,,81
6/12/2024 14:57,7,9,HUT.E,DP,309,2.699,11,66.3,,82
6/12/2024 14:57,8,9,HUT.E,DP,409,0.033,0.62,1.01,,83
6/12/2024 15:10,5,10,HUT.E,DP,110,3.901,10.5,63.5,,99
6/12/2024 15:09,6,10,HUT.E,DP,210,3.491,11.4,69.4,,98
6/12/2024 15:08,7,10,HUT.E,DP,310,5.706,11,76.4,,97
6/12/2024 15:07,8,10,HUT.E,DP,410,0.021,0.6,0.63,,96
6/12/2024 15:12,5,11,HUT.E,DP,111,3.745,10.4,68.8,,100
6/12/2024 15:12,6,11,HUT.E,DP,211,3.152,11.4,67.1,,101
6/12/2024 15:13,7,11,HUT.E,DP,311,0.034,0.63,1.47,,102
6/12/2024 15:13,8,11,HUT.E,DP,411,3.516,11.1,67.5,,103
6/12/2024 15:26,5,12,HUT.E,DP,112,4.287,11.1,72.7,,119
6/12/2024 15:25,6,12,HUT.E,DP,212,5.229,10.6,70.2,,118
6/12/2024 15:24,7,12,HUT.E,DP,312,0.012,0.6,0.38,,117
6/12/2024 15:24,8,12,HUT.E,DP,412,5.035,11.4,69.1,,116
6/12/2024 15:28,5,13,HUT.E,DP,113,5.167,11.3,77.9,,120
6/12/2024 15:28,6,13,HUT.E,DP,213,0.024,0.6,0.82,,121
6/12/2024 15:29,7,13,HUT.E,DP,313,5.247,10.8,69.3,,122
6/12/2024 15:30,8,13,HUT.E,DP,413,4.976,11.1,68,,123
6/12/2024 15:46,5,14,HUT.E,DP,114,3.671,11.1,69.3,,139
6/12/2024 15:45,6,14,HUT.E,DP,214,4.835,10.3,68.1,,138
6/12/2024 15:44,7,14,HUT.E,DP,314,5.281,10.7,71.1,,137
6/12/2024 15:43,8,14,HUT.E,DP,414,4.959,9.97,61.9,,136
6/12/2024 15:51,5,15,HUT.E,DP,115,4.239,10.4,70.9,,140
6/12/2024 15:52,6,15,HUT.E,DP,215,3.735,10.9,70.8,,141
6/12/2024 15:53,7,15,HUT.E,DP,315,3.747,11.2,68.3,,142
6/12/2024 15:53,8,15,HUT.E,DP,415,4.586,10.6,70.4,,143
6/12/2024 16:08,5,16,HUT.E,DP,116,5.065,10.7,76.8,,159
6/12/2024 16:07,6,16,HUT.E,DP,216,3.353,10.2,66.8,,158
6/12/2024 16:07,7,16,HUT.E,DP,316,3.706,10.1,66.2,,157
6/12/2024 16:06,8,16,HUT.E,DP,416,5.076,10.8,72.1,,156
6/12/2024 16:09,5,17,HUT.E,DP,117,0.338,10.7,22.9,,160
6/12/2024 16:10,6,17,HUT.E,DP,217,4.653,10.9,74.7,,161
6/12/2024 16:11,7,17,HUT.E,DP,317,5.293,10.7,74.4,,162
6/12/2024 16:11,8,17,HUT.E,DP,417,0.03,0.66,1.11,,163
6/12/2024 16:23,5,18,HUT.E,DP,118,1.599,14.3,54,,179
6/12/2024 16:23,6,18,HUT.E,DP,218,1.548,10.1,53.2,,178
