level_0,index,YEAR,Trial,TRIAL_SHORT,Location,LOC_SHORT,Trt,Reps,Plots,SAMPLING,TRIAL_CODE,Trt1,Rep1,Plot,LABEL
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,1,1,101,FRL-AB-22-HI-101
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,2,1,102,FRL-AB-22-HI-102
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,3,1,103,FRL-AB-22-HI-103
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,4,1,104,FRL-AB-22-HI-104
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,5,1,105,FRL-AB-22-HI-105
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,6,1,106,FRL-AB-22-HI-106
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,7,1,107,FRL-AB-22-HI-107
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,8,1,108,FRL-AB-22-HI-108
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,9,1,109,FRL-AB-22-HI-109
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,10,1,110,FRL-AB-22-HI-110
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,11,1,111,FRL-AB-22-HI-111
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,12,1,112,FRL-AB-22-HI-112
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,13,1,113,FRL-AB-22-HI-113
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,14,1,114,FRL-AB-22-HI-114
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,15,1,115,FRL-AB-22-HI-115
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,16,1,116,FRL-AB-22-HI-116
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,17,1,117,FRL-AB-22-HI-117
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,18,1,118,FRL-AB-22-HI-118
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,19,1,119,FRL-AB-22-HI-119
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,20,1,120,FRL-AB-22-HI-120
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,21,1,121,FRL-AB-22-HI-121
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,22,1,122,FRL-AB-22-HI-122
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,23,1,123,FRL-AB-22-HI-123
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,24,1,124,FRL-AB-22-HI-124
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,1,2,201,FRL-AB-22-HI-201
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,2,2,202,FRL-AB-22-HI-202
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,3,2,203,FRL-AB-22-HI-203
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,4,2,204,FRL-AB-22-HI-204
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,5,2,205,FRL-AB-22-HI-205
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,6,2,206,FRL-AB-22-HI-206
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,7,2,207,FRL-AB-22-HI-207
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,8,2,208,FRL-AB-22-HI-208
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,9,2,209,FRL-AB-22-HI-209
0,0,22,Fungicide Residual Life,FRL,Ashland Bottoms,AB,24.0,3.0,72,HI,11,10,2,210,FRL-AB-22-HI-210
