YEAR,TRIAL_SHORT,LOC_SHORT,TRT,REPS,SAMPLING,TRIAL_CODE
22,FRL,AB,24.0,3.0,"HI, CB",11
22,IND,AB,3.0,4.0,"Book,CB,HI,HD,ST,GR",3
22,KFMC,AB,12.0,4.0,"HI, CB",8
22,FKF,AB,12.0,4.0,"HI, CB",9
22,IWM,AB,8.0,6.0,"HI, CB,DON",14
22,NxF,AB,20.0,4.0,"HI, CB,ST,GR,Book",4
22,PMS,AB,6.0,4.0,"HI, CB",6
22,PMT,AB,12.0,4.0,"HI, CB",7
22,RAIN,AB,17.0,4.0,"F6, F10.5, SD, HI, CB",15
22,SP,AB,3.0,4.0,"HI, CB",5
22,GO,HUT17,19.0,4.0,,12
22,IWM,BE.O,8.0,5.0,"HI, CB,DON",14
22,NxF,BE.O,20.0,3.0,"HI, CB,ST,GR,Book",4
22,US,BE.O,18.0,3.0,CB,19
22,Clx2,BE.S,4.0,4.0,"F10.5, CB",1
22,IWM,BE.S,8.0,4.0,"HI, CB,DON",14
22,NxF,BE.S,20.0,3.0,"HI, CB,ST,GR,Book",4
22,PMS,BE.S,6.0,4.0,"HI, CB",6
22,SP,BE.S,3.0,4.0,"HI, CB",5
22,TP,BE.S,50.0,3.0,"HI, CB",17
22,IWM,THD,6.0,8.0,"HI, CB,DON",14
22,IWM,DCD,4.0,8.0,"HI, CB,DON",14
22,IWM,GC,8.0,5.0,"HI, CB,DON",14
22,Clx2,GB,4.0,4.0,"F10.5, CB",1
22,IND,GB,3.0,6.0,"Book,CB,HI,HD,ST,GR",3
22,IWM,GB,8.0,4.0,"HI, CB,DON",14
22,NxF,GB,20.0,4.0,"HI, CB,ST,GR,Book",4
22,SP,GB,3.0,4.0,CB,5
22,TBD,GB,20.0,1.0,CB,16
22,TP,GB,50.0,3.0,"HI, CB",17
22,Cl24,HAYS,48.0,2.0,"F10.5, CB",2
22,Clx2,HAYS,4.0,4.0,"F10.5, CB",1
22,IND,HAYS,3.0,8.0,"Book,CB,HI,HD,ST,GR",3
22,IWM,HAYS,8.0,8.0,"HI, CB,DON",14
22,NxF,HAYS,20.0,4.0,"HI, CB,ST,GR,Book",4
22,PMS,HAYS,6.0,4.0,CB,6
22,SP,HAYS,3.0,8.0,CB,5
22,TP,HAYS,50.0,4.0,"HI, CB",17
22,VGR,HAYS,5.0,8.0,CB,20
22,Clx2,HUT.E,4.0,4.0,"F10.5, CB",1
22,DP,HUT.E,19.0,4.0,CB,10
22,FKF,HUT.E,12.0,4.0,CB,9
22,NxF,HUT.E,20.0,3.0,"HI, CB,ST,GR,Book",4
22,SP,HUT.E,3.0,4.0,CB,5
22,Clx2,HUT.L,4.0,4.0,"F10.5, CB",1
22,IND,HUT.L,3.0,8.0,"Book,CB,HI,HD,ST,GR",3
22,FKF,HUT.L,12.0,4.0,CB,9
22,KFS,HUT.L,8.0,4.0,CB,24
22,IWM,HUT.L,8.0,4.0,"HI, CB,DON",14
22,NxF,HUT.L,20.0,4.0,"HI, CB,ST,GR,Book",4
22,SP,HUT.L,3.0,4.0,CB,5
22,TBD,HUT.L,,,,16
22,TP,HUT.L,50.0,3.0,"HI, CB",17
22,Clx2,HUT.O,4.0,4.0,"F10.5, CB",1
22,FRL,HUT.O,24.0,4.0,CB,11
22,IND,HUT.O,3.0,8.0,"Book,CB,HI,HD,ST,GR",3
22,NxF,HUT.O,20.0,4.0,"HI, CB,ST,GR,Book",4
22,PMS,HUT.O,6.0,4.0,CB,6
22,SP,HUT.O,3.0,8.0,CB,5
22,TBD,HUT.O,8.0,1.0,CB,16
22,TBD,HUT.O,7.0,1.0,CB,16
22,TP,HUT.O,50.0,4.0,"HI, CB",17
22,VGR,HUT.O,8.0,8.0,CB,20
22,VGR,HUT.O,28.0,7.0,CB,20
22,Clx2,HUT23,4.0,3.0,"F10.5, CB",1
22,GO,HUT23,19.0,4.0,CB,12
22,SP,HUT23,3.0,3.0,CB,5
22,RT,JC,8.0,1.0,"F10.5,HI,CB",9999
22,Clx2,LEO,4.0,4.0,"F10.5, CB",1
22,HSR,LEO,20.0,4.0,CB,13
22,IND,LEO,3.0,8.0,"Book,CB,HI,HD,ST,GR",3
22,IWM,LEO,8.0,6.0,"HI, CB,DON",14
22,NxF,LEO,20.0,4.0,"HI, CB,ST,GR,Book",4
22,SP,LEO,3.0,4.0,CB,5
22,TP,LEO,50.0,3.0,"HI, CB",17
22,Clx2,MNH,4.0,5.0,"F10.5, CB",1
22,IND,MNH,3.0,8.0,"Book,CB,HI,HD,ST,GR",3
22,IWM,MNH,8.0,7.0,"HI, CB,DON",14
22,NxF,MNH,20.0,4.0,"HI, CB,ST,GR,Book",4
22,PMS,MNH,6.0,4.0,"HI, CB",6
22,SP,MNH,3.0,5.0,"HI, CB",5
22,TBD,MNH,4.0,7.0,CB,16
22,US,MNH,18.0,4.0,"HI, CB",19
22,IWM,MNH.L,8.0,5.0,"HI, CB,DON",14
22,IWM,MCD,4.0,10.0,"HI, CB,DON",14
22,RT,SL,8.0,1.0,"F10.5,HI,CB",9999
22,Clx2,SO.CC,4.0,4.0,"F10.5, CB",1
22,IND,SO.CC,3.0,8.0,"Book,CB,HI,HD,ST,GR",3
22,SP,SO.CC,3.0,4.0,"HI, CB",5
22,VR,SO.CC,40.0,4.0,"HI, CB",21
22,Clx2,SO.S,4.0,4.0,"F10.5, CB",1
22,IND,SO.S,3.0,8.0,"Book,CB,HI,HD,ST,GR",3
22,IWM,SO.S,8.0,4.0,"HI, CB,DON",14
22,NxF,SO.S,20.0,4.0,"HI, CB,ST,GR,Book",4
22,SP,SO.S,3.0,4.0,"HI, CB",5
22,TBD,SO.S,5.0,4.0,CB,16
22,VGR,SO.S,8.0,8.0,"HI, CB",20
22,VR,SO.S,40.0,4.0,"HI, CB",21
22,Clx2,SO.WW,4.0,4.0,"F10.5, CB",1
22,Clx2,SO.WW,4.0,4.0,"F10.5, CB",1
22,IND,SO.WW,3.0,8.0,"Book,CB,HI,HD,ST,GR",3
22,IND,SO.WW,3.0,8.0,"Book,CB,HI,HD,ST,GR",3
22,SP,SO.WW,3.0,4.0,"HI, CB",5
22,VR,SO.WW,40.0,4.0,"HI, CB",21
22,IND,DCD,2.0,8.0,"Book,CB,HI,HD,ST,GR",3
22,IND,THD,2.0,8.0,"Book,CB,HI,HD,ST,GR",3
22,IND,CLW,4.0,4.0,"Book,CB,HI,HD,ST,GR",3
22,IND,CDL,4.0,4.0,"Book,CB,HI,HD,ST,GR",3
22,IND,PRS,4.0,4.0,"Book,CB,HI,HD,ST,GR",3
23,Bio1,AB,6.0,5.0,"CB, HI",35
23,Bio2,AB,6.0,5.0,"CB, HI",36
23,Cl24,AB,48.0,3.0,"F10.5, CB",2
23,Clx2,AB,4.0,3.0,"F10.5, CB",1
23,IND,AB,6.0,4.0,"Book,CB,HI,HD,ST,GR",3
23,KF.FMC,AB,12.0,3.0,"CB, HI",29
23,K.PM,AB,6.0,4.0,"CB, HI",27
23,K.Tan.S,AB,12.0,4.0,"CB, HI",31
23,NxF,AB,20.0,3.0,"HI, CB,ST,GR,Book",4
23,RAIN,AB,17.0,4.0,"Book,CB,HI",15
23,RAIN,AB,17.0,4.0,"F6, F10.5, SD, HI, CB, HI-CH, SD-CH, HI-GR, SD-GR",15
23,SP,AB,3.0,6.0,"CB, HI",5
23,TRIT,AB,6.0,3.0,"CB, HI",32
23,Clx2,BE.O,4.0,6.0,"F10.5, CB, HI",1
23,IND,BE.O,6.0,4.0,"Book,CB,HI,HD,ST,GR",3
23,K.Scab,BE.O,18.0,4.0,"Book,CB,HI",30
23,SP,BE.O,3.0,6.0,"Book,CB,HI",5
23,Clx2,BE.S,4.0,3.0,"F10.5, CB, HI",1
